100000 3
1.000000 1478188786177.000000 155946177.000000 
2.000000 1478188786181.000000 155946181.000000 
3.000000 1478188786185.000000 155946185.000000 
4.000000 1478188786189.000000 155946189.000000 
5.000000 1478188786194.000000 155946194.000000 
6.000000 1478188786198.000000 155946198.000000 
7.000000 1478188786202.000000 155946202.000000 
8.000000 1478188786206.000000 155946206.000000 
9.000000 1478188786210.000000 155946210.000000 
10.000000 1478188786214.000000 155946214.000000 
11.000000 1478188786219.000000 155946219.000000 
12.000000 1478188786223.000000 155946223.000000 
13.000000 1478188786227.000000 155946227.000000 
14.000000 1478188786231.000000 155946231.000000 
15.000000 1478188786235.000000 155946235.000000 
16.000000 1478188786239.000000 155946239.000000 
17.000000 1478188786243.000000 155946243.000000 
18.000000 1478188786247.000000 155946247.000000 
19.000000 1478188786251.000000 155946251.000000 
20.000000 1478188786255.000000 155946255.000000 
21.000000 1478188786260.000000 155946260.000000 
22.000000 1478188786264.000000 155946264.000000 
23.000000 1478188786268.000000 155946268.000000 
24.000000 1478188786272.000000 155946272.000000 
25.000000 1478188786276.000000 155946276.000000 
26.000000 1478188786280.000000 155946280.000000 
27.000000 1478188786285.000000 155946285.000000 
28.000000 1478188786289.000000 155946289.000000 
29.000000 1478188786293.000000 155946293.000000 
30.000000 1478188786297.000000 155946297.000000 
31.000000 1478188786301.000000 155946301.000000 
32.000000 1478188786305.000000 155946305.000000 
33.000000 1478188786311.000000 155946311.000000 
34.000000 1478188786315.000000 155946315.000000 
35.000000 1478188786319.000000 155946319.000000 
36.000000 1478188786323.000000 155946323.000000 
37.000000 1478188786328.000000 155946328.000000 
38.000000 1478188786332.000000 155946332.000000 
39.000000 1478188786336.000000 155946336.000000 
40.000000 1478188786340.000000 155946340.000000 
41.000000 1478188786344.000000 155946344.000000 
42.000000 1478188786348.000000 155946348.000000 
43.000000 1478188786353.000000 155946353.000000 
44.000000 1478188786357.000000 155946357.000000 
45.000000 1478188786361.000000 155946361.000000 
46.000000 1478188786365.000000 155946365.000000 
47.000000 1478188786369.000000 155946369.000000 
48.000000 1478188786373.000000 155946373.000000 
49.000000 1478188786377.000000 155946377.000000 
50.000000 1478188786381.000000 155946381.000000 
51.000000 1478188786385.000000 155946385.000000 
52.000000 1478188786389.000000 155946389.000000 
53.000000 1478188786394.000000 155946394.000000 
54.000000 1478188786398.000000 155946398.000000 
55.000000 1478188786402.000000 155946402.000000 
56.000000 1478188786406.000000 155946406.000000 
57.000000 1478188786410.000000 155946410.000000 
58.000000 1478188786414.000000 155946414.000000 
59.000000 1478188786419.000000 155946419.000000 
60.000000 1478188786423.000000 155946423.000000 
61.000000 1478188786427.000000 155946427.000000 
62.000000 1478188786431.000000 155946431.000000 
63.000000 1478188786435.000000 155946435.000000 
64.000000 1478188786439.000000 155946439.000000 
65.000000 1478188786443.000000 155946443.000000 
66.000000 1478188786447.000000 155946447.000000 
67.000000 1478188786451.000000 155946451.000000 
68.000000 1478188786455.000000 155946455.000000 
69.000000 1478188786460.000000 155946460.000000 
70.000000 1478188786464.000000 155946464.000000 
71.000000 1478188786468.000000 155946468.000000 
72.000000 1478188786472.000000 155946472.000000 
73.000000 1478188786476.000000 155946476.000000 
74.000000 1478188786480.000000 155946480.000000 
75.000000 1478188786485.000000 155946485.000000 
76.000000 1478188786489.000000 155946489.000000 
77.000000 1478188786493.000000 155946493.000000 
78.000000 1478188786497.000000 155946497.000000 
79.000000 1478188786501.000000 155946501.000000 
80.000000 1478188786505.000000 155946505.000000 
81.000000 1478188786511.000000 155946511.000000 
82.000000 1478188786515.000000 155946515.000000 
83.000000 1478188786519.000000 155946519.000000 
84.000000 1478188786523.000000 155946523.000000 
85.000000 1478188786528.000000 155946528.000000 
86.000000 1478188786532.000000 155946532.000000 
87.000000 1478188786536.000000 155946536.000000 
88.000000 1478188786540.000000 155946540.000000 
89.000000 1478188786544.000000 155946544.000000 
90.000000 1478188786548.000000 155946548.000000 
91.000000 1478188786553.000000 155946553.000000 
92.000000 1478188786557.000000 155946557.000000 
93.000000 1478188786561.000000 155946561.000000 
94.000000 1478188786565.000000 155946565.000000 
95.000000 1478188786569.000000 155946569.000000 
96.000000 1478188786573.000000 155946573.000000 
97.000000 1478188786577.000000 155946577.000000 
98.000000 1478188786581.000000 155946581.000000 
99.000000 1478188786585.000000 155946585.000000 
100.000000 1478188786589.000000 155946589.000000 
101.000000 1478188786594.000000 155946594.000000 
102.000000 1478188786598.000000 155946598.000000 
103.000000 1478188786602.000000 155946602.000000 
104.000000 1478188786606.000000 155946606.000000 
105.000000 1478188786610.000000 155946610.000000 
106.000000 1478188786614.000000 155946614.000000 
107.000000 1478188786619.000000 155946619.000000 
108.000000 1478188786623.000000 155946623.000000 
109.000000 1478188786627.000000 155946627.000000 
110.000000 1478188786631.000000 155946631.000000 
111.000000 1478188786635.000000 155946635.000000 
112.000000 1478188786639.000000 155946639.000000 
113.000000 1478188786643.000000 155946643.000000 
114.000000 1478188786647.000000 155946647.000000 
115.000000 1478188786651.000000 155946651.000000 
116.000000 1478188786655.000000 155946655.000000 
117.000000 1478188786660.000000 155946660.000000 
118.000000 1478188786664.000000 155946664.000000 
119.000000 1478188786668.000000 155946668.000000 
120.000000 1478188786672.000000 155946672.000000 
121.000000 1478188786676.000000 155946676.000000 
122.000000 1478188786680.000000 155946680.000000 
