100000 3
1.000000 1478511895097.000000 94455097.000000 
2.000000 1478511895101.000000 94455101.000000 
3.000000 1478511895105.000000 94455105.000000 
4.000000 1478511895109.000000 94455109.000000 
5.000000 1478511895114.000000 94455114.000000 
6.000000 1478511895118.000000 94455118.000000 
7.000000 1478511895122.000000 94455122.000000 
8.000000 1478511895126.000000 94455126.000000 
9.000000 1478511895130.000000 94455130.000000 
10.000000 1478511895134.000000 94455134.000000 
11.000000 1478511895139.000000 94455139.000000 
12.000000 1478511895143.000000 94455143.000000 
13.000000 1478511895147.000000 94455147.000000 
14.000000 1478511895151.000000 94455151.000000 
15.000000 1478511895155.000000 94455155.000000 
16.000000 1478511895159.000000 94455159.000000 
17.000000 1478511895163.000000 94455163.000000 
18.000000 1478511895167.000000 94455167.000000 
19.000000 1478511895171.000000 94455171.000000 
20.000000 1478511895175.000000 94455175.000000 
21.000000 1478511895180.000000 94455180.000000 
22.000000 1478511895184.000000 94455184.000000 
23.000000 1478511895188.000000 94455188.000000 
24.000000 1478511895192.000000 94455192.000000 
25.000000 1478511895196.000000 94455196.000000 
26.000000 1478511895200.000000 94455200.000000 
27.000000 1478511895205.000000 94455205.000000 
28.000000 1478511895209.000000 94455209.000000 
29.000000 1478511895213.000000 94455213.000000 
30.000000 1478511895217.000000 94455217.000000 
31.000000 1478511895221.000000 94455221.000000 
32.000000 1478511895225.000000 94455225.000000 
33.000000 1478511895231.000000 94455231.000000 
34.000000 1478511895235.000000 94455235.000000 
35.000000 1478511895239.000000 94455239.000000 
36.000000 1478511895243.000000 94455243.000000 
37.000000 1478511895248.000000 94455248.000000 
38.000000 1478511895252.000000 94455252.000000 
39.000000 1478511895256.000000 94455256.000000 
40.000000 1478511895260.000000 94455260.000000 
41.000000 1478511895264.000000 94455264.000000 
42.000000 1478511895268.000000 94455268.000000 
43.000000 1478511895273.000000 94455273.000000 
44.000000 1478511895277.000000 94455277.000000 
45.000000 1478511895281.000000 94455281.000000 
46.000000 1478511895285.000000 94455285.000000 
47.000000 1478511895289.000000 94455289.000000 
